Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hazel-3-seater-sofa,Hazel Fabric 3 Seater Sofa,"<p>A sophisticated, contemporary 3-seater sofa crafted in premium textured Chenille Bouclé upholstery with high-density 32D foam cushions and reinforced zig-zag springs.</p>",EKKAYI,Furniture > Sofas,Sofas,"Living Room, Sofa, Bouclé, 3 Seater, EKKAYI",true,Title,Default Title,,,EKKAYI-HZ-3S,65000,shopify,10,deny,manual,34900.00,49990.00,true,true,,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=1000&q=80,1,Hazel 3 Seater Sofa Main,false,Hazel 3 Seater Sofa | EKKAYI,Contemporary 3-seater sofa in Chenille Bouclé with ergonomic lumbar support.,,,,,,,new,false,,,,,,kg,,,active
hazel-2-seater-sofa,Hazel Fabric 2 Seater Loveseat,"<p>Compact luxury crafted for cozy corners and urban living spaces in textured Bouclé fabric with solid oak timber legs.</p>",EKKAYI,Furniture > Sofas,Sofas,"Living Room, Sofa, Loveseat, 2 Seater, EKKAYI",true,Title,Default Title,,,EKKAYI-HZ-2S,48000,shopify,12,deny,manual,27900.00,38990.00,true,true,,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=1000&q=80,1,Hazel 2 Seater Loveseat,false,Hazel 2 Seater Loveseat | EKKAYI,Compact 2-seater loveseat in soft Bouclé fabric and solid oak legs.,,,,,,,new,false,,,,,,kg,,,active
riga-3-seater-sofa,Riga Modern 3 Seater Sofa,"<p>Clean Scandinavian lines with subtle button-tufted backrest detailing and breathable, fade-resistant upholstery.</p>",EKKAYI,Furniture > Sofas,Sofas,"Living Room, Sofa, Scandinavian, 3 Seater, EKKAYI",true,Title,Default Title,,,EKKAYI-RG-3S,58000,shopify,8,deny,manual,29900.00,42990.00,true,true,,https://images.unsplash.com/photo-1493663284031-b7e3aefcae8e?auto=format&fit=crop&w=1000&q=80,1,Riga Modern 3 Seater Sofa,false,Riga Modern 3 Seater Sofa | EKKAYI,Scandinavian 3-seater sofa with tufted cushions and durable fabric.,,,,,,,new,false,,,,,,kg,,,active
lavista-sofa-bed,Lavista Multi-Functional Sofa Cum Bed,"<p>Multi-functional sofa cum bed that effortlessly transitions into a queen-size guest bed with built-in box storage.</p>",EKKAYI,Furniture > Sofas,Sofas,"Living Room, Sofa Bed, Multi-functional, Storage, EKKAYI",true,Title,Default Title,,,EKKAYI-LV-SB,75000,shopify,6,deny,manual,39900.00,59990.00,true,true,,https://images.unsplash.com/photo-1540574163026-643ea20ade25?auto=format&fit=crop&w=1000&q=80,1,Lavista Multi-Functional Sofa Bed,false,Lavista Sofa Bed | EKKAYI,3-seater convertible sofa bed with hydraulic lift storage.,,,,,,,new,false,,,,,,kg,,,active
liora-3-seater-electric-recliner,Liora 3 Seater Electric Recliner Sofa,"<p>Cinema-grade luxury motorized recliner with dual whisper-quiet mechanisms and integrated USB fast-charging ports.</p>",EKKAYI,Furniture > Recliners,Sofas,"Living Room, Recliner, Motorized, Suede, EKKAYI",true,Title,Default Title,,,EKKAYI-LR-3S,85000,shopify,5,deny,manual,74900.00,109990.00,true,true,,https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?auto=format&fit=crop&w=1000&q=80,1,Liora 3 Seater Electric Recliner,false,Liora Electric Recliner 3S | EKKAYI,Dual motorized electric recliner sofa with velvet suede fabric.,,,,,,,new,false,,,,,,kg,,,active
liora-2-seater-recliner-console,Liora 2 Seater Home Theatre Recliner,"<p>Home theatre recliner featuring two independent reclining seats, central storage console, and dual brushed aluminum cup holders.</p>",EKKAYI,Furniture > Recliners,Sofas,"Living Room, Home Theatre, Console, Recliner, EKKAYI",true,Title,Default Title,,,EKKAYI-LR-2S,70000,shopify,7,deny,manual,59900.00,84990.00,true,true,,https://images.unsplash.com/photo-1567016432779-094069958ea5?auto=format&fit=crop&w=1000&q=80,1,Liora 2 Seater Console Recliner,false,Liora 2 Seater Home Theatre Recliner | EKKAYI,Luxury home theatre recliner with central storage console and cup holders.,,,,,,,new,false,,,,,,kg,,,active
aura-solid-teak-dining-table,Aura Monolithic Teak 8-Seater Dining Table,"<p>Architectural dining table sculpted from single-harvest plantation Grade-A Indian Teakwood with fluted monolithic pedestals and brass inlays.</p>",EKKAYI,Furniture > Tables > Dining Tables,Dining Tables,"Dining, Solid Wood, Teak, 8 Seater, Table, EKKAYI",true,Title,Default Title,,,EKKAYI-AR-DT,95000,shopify,4,deny,manual,85000.00,115000.00,true,true,,/images/products/monster3diningtable.webp,1,Aura Solid Teak Dining Table,false,Aura 8-Seater Teak Dining Table | EKKAYI,Grade-A Indian Teakwood monolithic dining table with fluted pillars.,,,,,,,new,false,,,,,,kg,,,active
kyoto-cane-dining-chairs,Kyoto Rattan & Teak Dining Chairs (Set of 2),"<p>Hand-woven natural rattan cane backrests paired with an ergonomically sculptured solid teakwood frame.</p>",EKKAYI,Furniture > Chairs > Dining Chairs,Dining Chairs,"Dining, Chairs, Rattan, Cane, Teak, EKKAYI",true,Title,Default Title,,,EKKAYI-KY-DC,14000,shopify,15,deny,manual,18500.00,24900.00,true,true,,/images/products/monster3diningchair.webp,1,Kyoto Rattan Dining Chairs Pair,false,Kyoto Rattan Dining Chairs | EKKAYI,Handcrafted rattan cane and solid teak dining chairs (Set of 2).,,,,,,,new,false,,,,,,kg,,,active
jina-sculptured-marble-dining-table,Jina Sculptured Travertine Dining Table,"<p>Magnificent sculptured dining table with fluted monolithic stone pedestals supporting an organic boat-shaped Italian travertine top.</p>",EKKAYI,Furniture > Tables > Dining Tables,Dining Tables,"Dining, Travertine, Marble, Italian Stone, EKKAYI",true,Title,Default Title,,,EKKAYI-JN-DT,180000,shopify,2,deny,manual,145000.00,185000.00,true,true,,/images/products/jina_dining.webp,1,Jina Travertine Dining Table,false,Jina Sculptured Travertine Dining Table | EKKAYI,Italian beige travertine monolithic 8-seater dining table.,,,,,,,new,false,,,,,,kg,,,active
terracotta-sculptural-coffee-table,Terracotta Clay Sculptural Center Table,"<p>Sculptural organic coffee table celebrating earthen warmth and geometric balance, hand-molded in high-fire natural terracotta clay.</p>",EKKAYI,Furniture > Tables > Accent Tables > Coffee Tables,Coffee Tables,"Living Room, Coffee Table, Terracotta, EKKAYI",true,Title,Default Title,,,EKKAYI-TC-CT,35000,shopify,8,deny,manual,28000.00,38000.00,true,true,,/images/products/jina_coffee.webp,1,Terracotta Center Table,false,Terracotta Sculptural Center Table | EKKAYI,Hand-molded terracotta clay circular coffee table.,,,,,,,new,false,,,,,,kg,,,active
